,Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,TotVal,ValCh,ValUnCh,Correct,zTotVal,zValCh,zValUnCh,zGSF,zDDT,absDDT,zValR,zValL,ConfSplit,GSFMedSplit,DDTMedSplit
0,1,1,49,110,131,0,4261.735,74,1584.966,LESS,-508,2392,1884,4,2,21,1.968557767,21,2.095290887,0.388833339,1.228449028,241,110,131,1,1.615547226,1.170500555,1.989850943,1.312145182,-0.061319475,0.061319475,1.989850943,1.170500555,1,1,1
1,1,2,13,47,50,1,3559.258,54,1864.387,LESS,-504,2188,1684,4,1,3,0.281222538,3,-1.047645444,-0.640053114,0.655295103,97,47,50,1,-1.256536731,-1.28755061,-1.170500555,1.312145182,-0.05645687,0.05645687,-1.170500555,-1.28755061,0,1,1
2,1,3,16,50,44,1,3754.464,64,3778.807,LESS,-48,1644,1596,2,1,-6,-0.562445076,6,-0.523822722,-0.125609888,0.814564495,94,50,44,0,-1.316371814,-1.170500555,-1.404600665,-0.399348534,0.497880095,0.497880095,-1.404600665,-1.170500555,0,0,1
3,1,4,7,57,50,0,2431.751,84,3064.179,LESS,-2462,3136,674,2,1,-7,-0.656185922,7,-0.349215148,0.903276565,-0.264642579,107,57,50,0,-1.057086457,-0.897383758,-1.170500555,-0.399348534,-2.436701993,2.436701993,-1.170500555,-0.897383758,1,0,0
4,1,5,18,42,50,0,2199.342,44,2850.845,LESS,-1130,1672,542,2,1,8,0.749926769,8,-0.174607574,-1.15449634,-0.454266055,92,42,50,1,-1.356261869,-1.482634036,-1.170500555,-0.399348534,-0.817454544,0.817454544,-1.170500555,-1.482634036,0,0,0
5,1,6,51,108,110,0,3269.922,44,3745.039,LESS,-1490,2472,982,2,1,2,0.187481692,2,-1.222253018,-1.15449634,0.419224649,218,108,110,1,1.156811594,1.092467184,1.170500555,-0.399348534,-1.25508899,1.25508899,1.170500555,1.092467184,0,0,0
6,1,7,31,78,80,0,6606.698,74,2425.516,LESS,-1170,3474,2304,5,1,2,0.187481692,2,-1.222253018,0.388833339,3.141714156,158,78,80,1,-0.039890055,-0.07803337,0,2.16789204,-0.866080594,0.866080594,0,-0.07803337,1,1,0
7,1,8,58,110,92,1,3642.146,74,3030.001,LESS,-1680,3044,1364,2,2,-18,-1.687335229,18,1.571468165,0.388833339,0.722923769,202,110,92,0,0.837691154,1.170500555,0.468200222,-0.399348534,-1.486062725,1.486062725,0.468200222,1.170500555,1,0,0
8,1,9,12,50,48,1,5213.48,54,2229.314,LESS,-472,2860,2388,6,1,-2,-0.187481692,2,-1.222253018,-0.640053114,2.004981758,98,50,48,0,-1.236591704,-1.170500555,-1.248533925,3.023638899,-0.01755603,0.01755603,-1.248533925,-1.170500555,0,1,1
9,1,10,54,110,101,1,5511.334,34,1727.761,LESS,752,2000,2752,5,2,-9,-0.843667615,9,0,-1.668939567,2.248002083,211,110,101,0,1.017196402,1.170500555,0.819350388,2.16789204,1.470401085,1.470401085,0.819350388,1.170500555,0,1,1
10,1,11,14,46,50,0,2007.957,74,1249.337,LESS,-772,1334,562,2,1,4,0.374963384,4,-0.87303787,0.388833339,-0.610417877,96,46,50,1,-1.276481759,-1.326567295,-1.170500555,-0.399348534,-0.382251401,0.382251401,-1.170500555,-1.326567295,1,0,0
11,1,12,22,80,83,1,3124.521,64,1956.342,LESS,-918,2186,1268,4,1,3,0.281222538,3,-1.047645444,-0.125609888,0.300591365,163,80,83,1,0.059835082,0,0.117050055,1.312145182,-0.559736482,0.559736482,0.117050055,0,0,1,0
12,1,13,6,50,56,0,1978.076,74,3940.974,LESS,-1050,1608,558,2,1,6,0.562445076,6,-0.523822722,0.388833339,-0.63479791,106,50,56,1,-1.077031484,-1.170500555,-0.936400444,-0.399348534,-0.720202445,0.720202445,-0.936400444,-1.170500555,1,0,0
13,1,14,13,50,47,1,2508.548,34,2032.978,LESS,-428,1614,1186,3,1,-3,-0.281222538,3,-1.047645444,-1.668939567,-0.201983585,97,50,47,0,-1.256536731,-1.170500555,-1.28755061,0.456398324,0.035932625,0.035932625,-1.28755061,-1.170500555,0,1,1
14,1,15,46,110,124,1,3907.246,4,1461.971,LESS,-660,2542,1882,5,1,14,1.312371845,14,0.87303787,-3.212269245,0.939219969,234,110,124,1,1.475932034,1.170500555,1.716734147,2.16789204,-0.246098463,0.246098463,1.716734147,1.170500555,0,1,1
15,1,16,27,91,80,1,3482.062,64,2540.283,LESS,-660,2246,1586,4,1,-11,-1.031149307,11,0.349215148,-0.125609888,0.592310563,171,91,80,0,0.219395302,0.429183537,0,1.312145182,-0.246098463,0.246098463,0,0.429183537,0,1,1
16,1,17,40,64,80,0,1823.377,74,2167.747,LESS,-750,1256,506,2,1,16,1.499853537,16,1.222253018,0.388833339,-0.761017472,144,64,80,1,-0.31912044,-0.624266962,0,-0.399348534,-0.355507074,0.355507074,0,-0.624266962,1,0,0
17,1,18,22,83,80,0,5111.944,64,1821.922,LESS,-1778,3340,1562,4,2,-3,-0.281222538,3,-1.047645444,-0.125609888,1.92213811,163,83,80,0,0.059835082,0.117050055,0,1.312145182,-1.605196547,1.605196547,0,0.117050055,0,1,0
18,1,19,54,101,110,0,4920.474,54,3188.875,LESS,-2694,3968,1274,4,1,9,0.843667615,9,0,-0.640053114,1.765916936,211,101,110,1,1.017196402,0.819350388,1.170500555,1.312145182,-2.71873308,2.71873308,1.170500555,0.819350388,0,1,0
19,1,20,6,56,50,0,1869.935,54,1348.091,LESS,-620,1160,540,2,1,-6,-0.562445076,6,-0.523822722,-0.640053114,-0.723030605,106,56,50,0,-1.077031484,-0.936400444,-1.170500555,-0.399348534,-0.197472413,0.197472413,-1.170500555,-0.936400444,0,1,1
20,1,21,18,50,42,0,1705.811,84,1299.314,LESS,20,1130,1150,2,2,-8,-0.749926769,8,-0.174607574,0.903276565,-0.856940064,92,50,42,0,-1.356261869,-1.170500555,-1.482634036,-0.399348534,0.580544379,0.580544379,-1.482634036,-1.170500555,1,0,1
21,1,22,43,110,117,0,3083.54,54,2248.677,LESS,-1634,2252,618,2,1,7,0.656185922,7,-0.349215148,-0.640053114,0.267154795,227,110,117,1,1.336316841,1.170500555,1.443617351,-0.399348534,-1.430142768,1.430142768,1.443617351,1.170500555,0,0,0
22,1,23,32,77,80,0,2474.714,24,1261.502,LESS,-1258,1954,696,2,1,3,0.281222538,3,-1.047645444,-2.183382793,-0.229588887,157,77,80,1,-0.059835082,-0.117050055,0,-0.399348534,-0.973057903,0.973057903,0,-0.117050055,0,1,0
23,1,24,27,80,91,0,2272.349,74,1373.872,LESS,-728,1536,808,2,1,11,1.031149307,11,0.349215148,0.388833339,-0.394699338,171,80,91,1,0.219395302,0,0.429183537,-0.399348534,-0.328762747,0.328762747,0.429183537,0,1,0,0
24,1,25,16,44,50,0,3790.48,64,2175.914,LESS,-616,1952,1336,4,1,6,0.562445076,6,-0.523822722,-0.125609888,0.843950101,94,44,50,1,-1.316371814,-1.404600665,-1.170500555,1.312145182,-0.192609808,0.192609808,-1.170500555,-1.404600665,0,1,1
25,1,26,7,50,57,0,2046.062,64,1804.283,LESS,-774,1330,556,2,1,7,0.656185922,7,-0.349215148,-0.125609888,-0.579327848,107,50,57,1,-1.057086457,-1.170500555,-0.897383758,-0.399348534,-0.384682704,0.384682704,-0.897383758,-1.170500555,0,0,0
26,1,27,14,50,46,1,3822.251,64,1246.179,LESS,686,1538,2224,3,2,-4,-0.374963384,4,-0.87303787,-0.125609888,0.869872192,96,50,46,0,-1.276481759,-1.170500555,-1.326567295,0.456398324,1.390168103,1.390168103,-1.326567295,-1.170500555,0,1,1
27,1,28,51,110,108,0,3347.54,64,1979.166,LESS,-1556,2496,940,4,1,-2,-0.187481692,2,-1.222253018,-0.125609888,0.4825535,218,110,108,0,1.156811594,1.170500555,1.092467184,1.312145182,-1.335321972,1.335321972,1.092467184,1.170500555,0,1,0
28,1,29,50,133,110,1,2252.245,54,2859.177,LESS,-236,1374,1138,1,1,-23,-2.15603946,23,2.444506035,-0.640053114,-0.411102275,243,133,110,0,1.655437281,2.067884313,1.170500555,-1.255095392,0.269337662,0.269337662,1.170500555,2.067884313,0,0,1
29,1,30,49,131,110,1,2083.424,74,1310.553,LESS,388,964,1352,1,2,-21,-1.968557767,21,2.095290887,0.388833339,-0.548844036,241,131,110,0,1.615547226,1.989850943,1.170500555,-1.255095392,1.027904035,1.027904035,1.170500555,1.989850943,1,0,1
30,1,31,47,126,110,1,4155.502,44,1021.733,LESS,-726,2120,1394,3,2,-16,-1.499853537,16,1.222253018,-1.15449634,1.141773078,236,126,110,0,1.515822089,1.794767517,1.170500555,0.456398324,-0.326331444,0.326331444,1.170500555,1.794767517,0,1,0
31,1,32,50,110,133,0,2550.939,84,2476.876,LESS,-610,1748,1138,2,2,23,2.15603946,23,2.444506035,0.903276565,-0.16739659,243,110,133,1,1.655437281,1.170500555,2.067884313,-0.399348534,-0.185315901,0.185315901,2.067884313,1.170500555,1,0,1
32,1,33,47,110,126,0,5814.551,64,1875.655,LESS,-2620,3952,1332,3,2,16,1.499853537,16,1.222253018,-0.125609888,2.495398103,236,110,126,1,1.515822089,1.170500555,1.794767517,0.456398324,-2.628774889,2.628774889,1.794767517,1.170500555,0,1,0
33,1,34,12,48,50,0,1428.288,94,3195.264,LESS,538,1024,1562,2,2,2,0.187481692,2,-1.222253018,1.417719791,-1.083372241,98,48,50,1,-1.236591704,-1.248533925,-1.170500555,-0.399348534,1.21025172,1.21025172,-1.170500555,-1.248533925,1,0,1
34,1,35,32,80,77,0,1743.991,84,714.693,LESS,-582,1362,780,3,2,-3,-0.281222538,3,-1.047645444,0.903276565,-0.825788842,157,80,77,0,-0.059835082,0,-0.117050055,0.456398324,-0.151277666,0.151277666,-0.117050055,0,1,1,1
35,1,36,43,117,110,1,2329.644,34,2402.523,LESS,-514,1568,1054,3,1,-7,-0.656185922,7,-0.349215148,-1.668939567,-0.347952107,227,117,110,0,1.336316841,1.443617351,1.170500555,0.456398324,-0.068613382,0.068613382,1.170500555,1.443617351,0,1,1
36,1,37,40,80,64,1,3381.75,74,1358.669,LESS,-252,1750,1498,3,2,-16,-1.499853537,16,1.222253018,0.388833339,0.510465583,144,80,64,0,-0.31912044,0,-0.624266962,0.456398324,0.249887242,0.249887242,-0.624266962,0,1,1,1
37,1,38,31,80,78,0,2209.993,34,1186.315,LESS,-956,1456,500,2,1,-2,-0.187481692,2,-1.222253018,-1.668939567,-0.445575859,158,80,78,0,-0.039890055,0,-0.07803337,-0.399348534,-0.605931229,0.605931229,-0.07803337,0,0,0,0
