parcode,trial,fix_item,fix_time,rt,block
1,40,0,232,4261.735,LESS
1,40,1,1008,4261.735,LESS
1,40,2,956,4261.735,LESS
1,40,1,1030,4261.735,LESS
1,40,2,642,4261.735,LESS
1,40,1,393.735,4261.735,LESS
1,41,0,511,3559.258,LESS
1,41,1,706,3559.258,LESS
1,41,2,640,3559.258,LESS
1,41,1,790,3559.258,LESS
1,41,2,912.258,3559.258,LESS
1,42,0,434,3754.464,LESS
1,42,1,1030,3754.464,LESS
1,42,2,764,3754.464,LESS
1,42,1,384,3754.464,LESS
1,42,0,440,3754.464,LESS
1,42,2,702.464,3754.464,LESS
1,43,0,226,2431.751,LESS
1,43,1,1072,2431.751,LESS
1,43,2,796,2431.751,LESS
1,43,1,337.751,2431.751,LESS
1,44,0,3,2199.342,LESS
1,44,1,1232,2199.342,LESS
1,44,2,654,2199.342,LESS
1,44,1,310.342,2199.342,LESS
1,45,0,198,3269.922,LESS
1,45,1,1028,3269.922,LESS
1,45,2,1122,3269.922,LESS
1,45,1,921.922,3269.922,LESS
1,46,0,235,6606.698,LESS
1,46,1,766,6606.698,LESS
1,46,0,198,6606.698,LESS
1,46,2,792,6606.698,LESS
1,46,1,1062,6606.698,LESS
1,46,2,784,6606.698,LESS
1,46,1,1548,6606.698,LESS
1,46,2,876,6606.698,LESS
1,46,1,345.698,6606.698,LESS
1,47,0,189,3642.146,LESS
1,47,1,1386,3642.146,LESS
1,47,0,244,3642.146,LESS
1,47,2,962,3642.146,LESS
1,47,1,542,3642.146,LESS
1,47,2,319.146,3642.146,LESS
1,48,0,487,5213.48,LESS
1,48,1,1062,5213.48,LESS
1,48,2,952,5213.48,LESS
1,48,1,786,5213.48,LESS
1,48,2,974,5213.48,LESS
1,48,1,398,5213.48,LESS
1,48,2,554.48,5213.48,LESS
1,49,0,239,5511.334,LESS
1,49,1,802,5511.334,LESS
1,49,2,858,5511.334,LESS
1,49,1,802,5511.334,LESS
1,49,2,1016,5511.334,LESS
1,49,1,698,5511.334,LESS
1,49,2,1096.334,5511.334,LESS
1,50,0,227,2007.957,LESS
1,50,1,732,2007.957,LESS
1,50,2,644,2007.957,LESS
1,50,1,404.957,2007.957,LESS
1,51,0,56,3124.521,LESS
1,51,1,962,3124.521,LESS
1,51,2,726,3124.521,LESS
1,51,1,1008,3124.521,LESS
1,51,2,372.521,3124.521,LESS
1,52,0,215,1978.076,LESS
1,52,1,640,1978.076,LESS
1,52,2,696,1978.076,LESS
1,52,1,427.076,1978.076,LESS
1,53,3,119,1978.076,LESS
1,53,1,764,2508.548,LESS
1,53,2,586,2508.548,LESS
1,53,1,638,2508.548,LESS
1,53,2,401.548,2508.548,LESS
1,54,0,243,3907.246,LESS
1,54,1,596,3907.246,LESS
1,54,2,724,3907.246,LESS
1,54,1,778,3907.246,LESS
1,54,2,786,3907.246,LESS
1,54,1,384,3907.246,LESS
1,54,2,396.246,3907.246,LESS
1,55,0,4,3482.062,LESS
1,55,1,1182,3482.062,LESS
1,55,2,1050,3482.062,LESS
1,55,1,832,3482.062,LESS
1,55,2,414.062,3482.062,LESS
1,56,0,177,1823.377,LESS
1,56,1,594,1823.377,LESS
1,56,2,610,1823.377,LESS
1,56,1,442.377,1823.377,LESS
1,57,0,205,5111.944,LESS
1,57,1,2038,5111.944,LESS
1,57,2,736,5111.944,LESS
1,57,1,760,5111.944,LESS
1,57,2,608,5111.944,LESS
1,57,1,764.944,5111.944,LESS
1,58,0,49,4920.474,LESS
1,58,1,860,4920.474,LESS
