,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,1,0,4261.735,0,63,42,0.603447869,0.396552131
1,1,1,3559.258,1,126,123,0.490772107,0.509227893
2,1,2,3754.464,1,123,129,0.490893134,0.509106866
3,1,3,2431.751,0,116,123,0.639125178,0.360874822
4,1,4,2199.342,0,131,123,0.702232166,0.297767834
5,1,5,3269.922,0,65,63,0.634756351,0.365243649
6,1,6,6606.698,0,95,93,0.602831237,0.397168763
7,1,7,3642.146,1,63,81,0.600782887,0.399217113
8,1,8,5213.48,1,123,125,0.475195071,0.524804929
9,1,9,5511.334,1,63,72,0.436618773,0.563381227
10,1,10,2007.957,0,127,123,0.63839666,0.36160334
11,1,11,3124.521,1,93,90,0.642003102,0.357996898
12,1,12,1978.076,0,123,117,0.605235395,0.394764605
13,1,13,2508.548,1,123,126,0.58672184,0.41327816
14,1,14,3907.246,1,63,49,0.479771282,0.520228718
15,1,15,3482.062,1,82,93,0.579058108,0.420941892
16,1,16,1823.377,0,109,93,0.629489479,0.370510521
17,1,17,5111.944,0,90,93,0.726102438,0.273897562
18,1,18,4920.474,0,72,63,0.694958856,0.305041144
19,1,19,1869.935,0,117,123,0.618069705,0.381930295
20,1,20,1705.811,0,123,131,0.636436279,0.363563721
21,1,21,3083.54,0,63,56,0.736291066,0.263708934
22,1,22,2474.714,0,96,93,0.642970946,0.357029054
23,1,23,2272.349,0,93,82,0.60563236,0.39436764
24,1,24,3790.48,0,129,123,0.565494564,0.434505436
25,1,25,2046.062,0,123,116,0.640865469,0.359134531
26,1,26,3822.251,1,123,127,0.468666947,0.531333053
27,1,27,3347.54,0,63,65,0.651876141,0.348123859
28,1,28,2252.245,1,40,63,0.519646076,0.480353924
29,1,29,2083.424,1,42,63,0.53931314,0.46068686
30,1,30,4155.502,1,47,63,0.670522859,0.329477141
31,1,31,2550.939,0,63,40,0.653803191,0.346196809
32,1,32,5814.551,0,63,47,0.763474355,0.236525645
33,1,33,1428.288,0,125,123,0.390158258,0.609841742
34,1,34,1743.991,0,93,96,0.657066043,0.342933957
35,1,35,2329.644,1,56,63,0.541787918,0.458212082
36,1,36,3381.75,1,93,109,0.627425297,0.372574703
37,1,37,2209.993,0,93,95,0.689048462,0.310951538
38,1,38,3602.313,1,49,63,0.470956745,0.529043255
39,1,39,2506.099,0,81,63,0.647531272,0.352468728
40,1,40,7964.301,1,45,63,0.539804309,0.460195691
41,1,41,1743.824,0,123,115,0.646648461,0.353351539
42,1,42,2122.334,0,119,123,0.699431195,0.300568805
43,1,43,2518.011,1,93,104,0.683489496,0.316510504
44,1,44,2201.475,0,68,63,0.585813405,0.414186595
45,1,45,2131.478,0,118,123,0.607476999,0.392523001
46,1,46,2017.429,0,77,93,0.671605014,0.328394986
47,1,47,3241.381,1,93,98,0.428198028,0.571801972
48,1,48,2528.386,0,63,45,0.717070028,0.282929972
49,1,49,1679.873,1,114,123,0.44448091,0.55551909
50,1,50,1513.221,0,63,54,0.638325807,0.361674193
51,1,51,3359.407,1,121,123,0.408188624,0.591811376
52,1,52,3815.203,0,115,123,0.563236639,0.436763361
53,1,53,4747.633,0,54,63,0.445187668,0.554812332
54,1,54,3013.624,0,99,93,0.474340505,0.525659495
55,1,55,3695.847,0,87,93,0.563461998,0.436538002
56,1,56,1818.684,0,107,93,0.665297155,0.334702845
57,1,57,3040.837,0,123,114,0.766454402,0.233545598
58,1,58,3156.807,0,79,63,0.7645607,0.2354393
59,1,59,5926.643,1,63,86,0.681963923,0.318036077
60,1,60,4156.099,1,98,93,0.391483115,0.608516885
61,1,61,2333.893,1,123,128,0.591994941,0.408005059
62,1,62,2362.993,0,84,63,0.442865386,0.557134614
63,1,63,1705.088,0,93,79,0.537687094,0.462312906
64,1,64,1720.385,1,63,75,0.623986389,0.376013611
65,1,65,1728.218,0,79,93,0.559611447,0.440388553
66,1,66,2498.348,1,63,79,0.531112746,0.468887254
67,1,67,3240.459,1,93,107,0.421807308,0.578192692
