,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
0,1,0,1734.284,1,110,131,0.669090192,0.330909808,1734.284
1,1,1,6555.37,0,47,50,0.759630129,0.240369871,6555.37
2,1,2,3174.566,0,50,44,0.549371077,0.450628923,3174.566
3,1,3,2877.579,1,57,50,0.608408512,0.391591488,2877.579
4,1,4,1806.31,1,42,50,0.522848984,0.477151016,1806.31
5,1,5,3636.816,0,108,110,0.559774264,0.440225736,3636.816
6,1,6,3650.266,1,78,80,0.682033597,0.317966403,3650.266
7,1,7,3078.223,0,110,92,0.565220915,0.434779085,3078.223
8,1,8,1259.268,1,50,48,0.508019033,0.491980967,1259.268
9,1,9,3440.738,0,110,101,0.558372782,0.441627218,3440.738
10,1,10,5698.027,1,46,50,0.582089346,0.417910654,5698.027
11,1,11,8224.467,1,80,83,0.628642317,0.371357683,8224.467
12,1,12,2626.168,1,50,56,0.666352583,0.333647417,2626.168
13,1,13,1991.413,0,50,47,0.699507869,0.300492131,1991.413
14,1,14,1671.149,1,110,124,0.508035244,0.491964756,1671.149
15,1,15,2607.607,0,91,80,0.746165918,0.253834082,2607.607
16,1,16,1527.826,1,64,80,0.473512088,0.526487912,1527.826
17,1,17,5043.16,0,83,80,0.508535954,0.491464046,5043.16
18,1,18,2267.665,1,101,110,0.553241983,0.446758017,2267.665
19,1,19,4499.543,0,56,50,0.623106977,0.376893023,4499.543
20,1,20,5571.061,0,50,42,0.57530587,0.42469413,5571.061
21,1,21,2045.641,1,110,117,0.658430709,0.341569291,2045.641
22,1,22,1402.112,1,77,80,0.435523019,0.564476981,1402.112
23,1,23,2736.625,1,80,91,0.565622513,0.434377487,2736.625
24,1,24,2065.604,1,44,50,0.528334775,0.471665225,2065.604
25,1,25,3058.203,1,50,57,0.555438676,0.444561324,3058.203
26,1,26,1613.454,1,50,46,0.485035116,0.514964884,1613.454
27,1,27,1931.482,1,110,108,0.550045076,0.449954924,1931.482
28,1,28,4895.517,0,133,110,0.698379326,0.301620674,4895.517
29,1,29,3197.86,1,131,110,0.577821404,0.422178596,3197.86
30,1,30,2000.688,1,126,110,0.511292087,0.488707913,2000.688
31,1,31,1921.251,1,110,133,0.597666855,0.402333145,1921.251
32,1,32,2050.497,1,110,126,0.522392578,0.477607422,2050.497
33,1,33,2219.756,1,48,50,0.292914479,0.707085521,2219.756
34,1,34,1635.473,1,80,77,0.5222612,0.4777388,1635.473
35,1,35,5608.432,0,117,110,0.520339061,0.479660939,5608.432
36,1,36,4443.018,0,80,64,0.567060657,0.432939343,4443.018
37,1,37,2620.927,1,80,78,0.524592439,0.475407561,2620.927
38,1,38,1725.903,1,124,110,0.558839641,0.441160359,1725.903
39,1,39,3225.23,1,92,110,0.578988054,0.421011946,3225.23
40,1,40,1686.53,0,128,110,0.657603346,0.342396654,1686.53
41,1,41,2010.532,1,50,58,0.526752872,0.473247128,2010.532
42,1,42,2244.929,0,54,50,0.702232672,0.297767328,2244.929
43,1,43,2092.94,0,80,69,0.652496014,0.347503986,2094.94
44,1,44,1361.319,1,105,110,0.48274665,0.51725335,1361.319
