name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,0,0,437,3327,2.0
p1.edf,1,0,0,164,3327,2.0
p1.edf,1,0,1,302,3327,2.0
p1.edf,1,0,1,198,3327,2.0
p1.edf,1,0,1,378,3327,2.0
p1.edf,1,0,2,432,3327,2.0
p1.edf,1,0,2,262,3327,2.0
p1.edf,1,0,1,358,3327,2.0
p1.edf,1,0,1,358,3327,2.0
p1.edf,1,0,1,438,3327,2.0
p1.edf,1,1,3,215,3424,2.0
p1.edf,1,1,1,338,3424,2.0
p1.edf,1,1,1,348,3424,2.0
p1.edf,1,1,2,740,3424,2.0
p1.edf,1,1,2,748,3424,2.0
p1.edf,1,1,1,352,3424,2.0
p1.edf,1,1,1,280,3424,2.0
p1.edf,1,1,2,292,3424,2.0
p1.edf,1,1,2,111,3424,2.0
p1.edf,1,2,3,339,3691,2.0
p1.edf,1,2,1,116,3691,2.0
p1.edf,1,2,1,240,3691,2.0
p1.edf,1,2,1,198,3691,2.0
p1.edf,1,2,1,328,3691,2.0
p1.edf,1,2,1,226,3691,2.0
p1.edf,1,2,2,424,3691,2.0
p1.edf,1,2,2,182,3691,2.0
p1.edf,1,2,2,284,3691,2.0
p1.edf,1,2,2,168,3691,2.0
p1.edf,1,2,2,610,3691,2.0
p1.edf,1,2,2,364,3691,2.0
p1.edf,1,2,2,212,3691,2.0
p1.edf,1,3,3,277,8144,2.0
p1.edf,1,3,1,178,8144,2.0
p1.edf,1,3,1,448,8144,2.0
p1.edf,1,3,2,406,8144,2.0
p1.edf,1,3,2,218,8144,2.0
p1.edf,1,3,2,372,8144,2.0
p1.edf,1,3,2,508,8144,2.0
p1.edf,1,3,2,486,8144,2.0
p1.edf,1,3,2,146,8144,2.0
p1.edf,1,3,2,192,8144,2.0
p1.edf,1,3,1,304,8144,2.0
p1.edf,1,3,1,644,8144,2.0
p1.edf,1,3,2,416,8144,2.0
p1.edf,1,3,2,366,8144,2.0
p1.edf,1,3,1,486,8144,2.0
