,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,0,3327,1,2.05,1,0.745414527,0.254585473
1,0,1,3424,1,0.7,1.3,0.41071985,0.58928015
2,0,2,3691,1,1.3,1.75,0.330548926,0.669451074
3,0,3,8144,0,1.45,0.7,0.592344999,0.407655001
4,0,4,6559,0,1,1,0.641717388,0.358282612
5,0,5,5595,0,2.35,1.75,0.744015826,0.255984174
6,0,6,2470,1,1.45,1.9,0.32972973,0.67027027
7,0,7,6091,1,2.05,2.35,0.363896848,0.636103152
8,0,8,4669,1,1.45,1.3,0.41943128,0.58056872
9,0,9,4001,1,1,1.9,0.169957082,0.830042918
10,0,10,3301,0,1.9,1.9,0.605078517,0.394921483
11,0,11,2867,0,1.6,1,0.591505792,0.408494208
12,0,12,3117,1,1.15,1.9,0.506601807,0.493398193
13,0,13,10424,1,1.3,1,0.553115373,0.446884627
14,0,14,2754,0,1.75,1.45,0.596631917,0.403368083
15,0,15,5836,1,1,1.3,0.492197309,0.507802691
16,0,16,3931,1,1.15,1.3,0.338392355,0.661607645
17,0,17,3602,1,1.45,2.2,0.416870416,0.583129584
18,0,18,5674,0,1.3,1.6,0.410654828,0.589345172
19,0,19,2567,1,1.3,1.9,0.259562842,0.740437158
20,0,20,2097,0,1.9,1.45,0.646866485,0.353133515
21,0,21,3641,0,2.05,2.2,0.544864227,0.455135773
22,0,22,4550,1,1.3,1.45,0.558710298,0.441289702
23,0,23,2973,1,1.3,1.6,0.239941478,0.760058522
24,0,24,2824,0,1.75,1.3,0.48939513,0.51060487
25,0,25,3643,0,1,0.7,0.63810111,0.36189889
26,0,26,2188,1,1.15,2.35,0.390218522,0.609781478
27,0,27,3321,1,1.15,1.9,0.300615484,0.699384516
28,0,28,6784,0,1.15,1,0.530279742,0.469720258
29,0,29,2314,0,1.9,0.7,0.465491924,0.534508076
30,0,30,2952,0,1.9,1,0.70045045,0.29954955
31,0,31,8388,0,1.75,1.6,0.533055828,0.466944172
32,0,32,5341,1,1.75,1.15,0.597014925,0.402985075
33,0,33,2183,1,1.9,2.05,0.335318369,0.664681631
34,0,34,3207,0,2.05,1.15,0.435516543,0.564483457
35,0,35,3224,1,1.9,1.45,0.344071737,0.655928263
36,0,36,3476,1,1.3,1.15,0.601593625,0.398406375
37,0,37,2295,0,2.35,1.3,0.633170732,0.366829268
38,0,38,3513,0,1.45,0.7,0.595478155,0.404521845
39,0,39,4458,1,1.9,2.05,0.438095238,0.561904762
40,0,40,2348,1,1.45,1.9,0.438570729,0.561429271
41,0,41,2809,0,1.6,1.3,0.732638889,0.267361111
42,0,42,1992,0,1.9,1.3,0.656666667,0.343333333
43,0,43,1534,1,1.15,2.05,0.383963494,0.616036506
44,0,44,3023,0,2.05,0.7,0.58834113,0.41165887
45,0,45,3452,0,1,1,0.638957816,0.361042184
46,0,46,3961,1,1,1.45,0.441342282,0.558657718
47,0,47,2636,1,1,1.9,0.464782792,0.535217208
48,0,48,1898,1,1,1.9,0.453097345,0.546902655
49,0,49,1725,1,0.7,1.9,0.472800537,0.527199463
50,0,50,4336,1,0.7,1,0.514856308,0.485143692
51,0,51,2037,0,2.05,1.9,0.650561798,0.349438202
52,0,52,2479,0,2.65,1.15,0.581519325,0.418480675
53,0,53,3389,1,0.7,1.45,0.455919395,0.544080605
54,0,54,2339,0,1.3,1,0.53355545,0.46644455
55,0,55,3609,0,1.15,1.15,0.699583581,0.300416419
56,0,56,7371,1,0.7,1.45,0.57385399,0.42614601
57,0,57,2520,0,1.45,1,0.684126984,0.315873016
58,0,58,1761,1,1,1.6,0.424121935,0.575878065
59,0,59,2593,1,1.15,1.3,0.252001686,0.747998314
60,0,60,5772,1,1.45,1.9,0.667270094,0.332729906
61,0,61,1945,0,1.9,1.15,0.566737288,0.433262712
62,0,62,1621,1,1.9,2.65,0.40027894,0.59972106
63,0,63,2952,1,1.45,1.6,0.493610807,0.506389193
64,0,64,2725,0,1.75,1,0.693306288,0.306693712
65,0,65,2591,0,1.9,1.45,0.662835249,0.337164751
66,0,66,3523,1,1.6,1.9,0.425402613,0.574597387
67,0,67,7082,0,1.75,1.9,0.53621068,0.46378932
68,0,68,4066,1,1.45,1.75,0.433883142,0.566116858
69,0,69,2602,0,1.75,1,0.731228669,0.268771331
70,0,70,3239,1,1.6,1.75,0.451538462,0.548461538
71,0,71,1943,0,1.45,1.45,0.607587433,0.392412567
72,0,72,3627,0,1.15,1,0.647653001,0.352346999
73,0,73,6245,0,1.3,1.45,0.567233901,0.432766099
74,0,74,4574,1,1.15,1.45,0.639446367,0.360553633
75,0,75,4327,1,1.3,2.35,0.547434656,0.452565344
76,0,76,6247,0,1.9,1,0.600448215,0.399551785
77,0,77,2353,0,1.9,1.75,0.587256301,0.412743699
78,0,78,4758,0,2.05,1.45,0.654303709,0.345696291
79,0,79,2715,0,1.9,1.15,0.703584374,0.296415626
80,0,80,1573,0,2.65,1.9,0.726067747,0.273932253
81,0,81,1712,1,1.15,1.15,0.426388889,0.573611111
82,0,82,2040,0,1.45,1.3,0.555183946,0.444816054
83,0,83,2372,1,1,1.15,0.419354839,0.580645161
84,0,84,4185,0,1,1.3,0.507297433,0.492702567
85,0,85,3429,1,1.9,1.75,0.449592987,0.550407013
